Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:06:59.463Z ; Ruta sin credenciales
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:18:08.467Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:19:07.125Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:19:07.127Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:19:07.266Z ; Respuesta: {"id":"userNotFound","message":"No se encontró ningún usuario con estos credenciales","description":"No se encontró ningún usuario con estos credenciales"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:22:37.125Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:22:37.127Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:22:37.526Z ; Respuesta: {"id":"userNotFound","message":"No se encontró ningún usuario con estos credenciales","description":"No se encontró ningún usuario con estos credenciales"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:28:44.404Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:28:44.406Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T01:28:44.797Z ; Respuesta: {"id":"userNotFound","message":"No se encontró ningún usuario con estos credenciales","description":"No se encontró ningún usuario con estos credenciales"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:51:47.707Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:51:47.709Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:51:47.738Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:59:11.185Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:59:11.186Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:59:11.213Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:59:38.082Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:59:38.083Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T18:59:38.112Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios/login ; Método: POST ; Fecha: 2024-12-23T19:01:09.351Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios/login ; Método: POST ; Fecha: 2024-12-23T19:01:09.353Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456","rol":"admin","lenguage":"Spanish"} 
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T19:01:37.736Z ; Ruta sin credenciales
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-23T19:01:37.759Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T19:58:27.518Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T19:58:27.518Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T19:58:27.869Z ; Respuesta: {"error":"El correo ya existe"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T19:58:37.760Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T19:58:37.760Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T19:58:37.872Z ; Respuesta: {"id":"userNotFound","message":"No se encontró ningún usuario con estos credenciales","description":"No se encontró ningún usuario con estos credenciales"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:11:28.726Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:11:28.727Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:11:28.965Z ; Respuesta: {"id":"userNotFound","message":"No se encontró ningún usuario con estos credenciales","description":"No se encontró ningún usuario con estos credenciales"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:24:01.208Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:24:01.209Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:24:01.438Z ; Respuesta: {"id":"userNotFound","message":"No se encontró ningún usuario con estos credenciales","description":"No se encontró ningún usuario con estos credenciales"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:24:23.158Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:24:23.159Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:24:23.270Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:25:42.961Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:25:42.961Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:25:43.040Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:26:28.720Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:26:28.720Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:26:28.797Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:21.945Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:21.946Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:22.047Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:37.426Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:37.427Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:37.536Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:42.009Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:42.009Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:42.014Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:51.497Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:51.497Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:43:51.501Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:45:57.987Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:45:57.988Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:45:58.100Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:47:09.837Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:47:09.839Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:47:09.948Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:53:07.256Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:53:07.258Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:53:07.365Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: GET ; Fecha: 2024-12-23T22:53:27.132Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: GET ; Fecha: 2024-12-23T22:53:27.132Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:53:30.934Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T22:53:30.934Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T22:53:31.118Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:55:54.813Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:55:54.813Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdefg"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:55:54.815Z ; Respuesta: {"error":"Rol inválido"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:56:01.895Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:56:01.895Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:56:02.081Z ; Respuesta: {"error":"El correo ya existe"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:56:14.529Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:56:14.529Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-23T22:56:14.785Z ; Respuesta: {"id":3,"email":"admin2@softjobs.com","password":"$2a$10$I6srAksCDhDHjtdcw96JMuA2r7n0z4izOjhyv93TlmRuIqaISHd8a","rol":"admin","lenguage":"spanish"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T23:00:03.421Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T23:00:03.421Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T23:00:03.685Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T23:00:11.071Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-23T23:00:11.071Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-23T23:00:11.165Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:52:18.220Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:52:18.221Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T00:52:18.672Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:52:48.073Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:52:48.075Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T00:52:48.380Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:53:31.302Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:53:31.303Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T00:53:31.606Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:53:56.061Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:53:56.061Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T00:53:56.224Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:57:04.073Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:57:04.073Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T00:57:04.452Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:57:36.844Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T00:57:36.845Z ; Parametros Body :  {"email":"admin2@softjobs.com","password":"123456"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T00:57:37.059Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:05.578Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:05.578Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:05.581Z ; Respuesta: {"error":"Rol inválido"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:14.347Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:14.347Z ; Parametros Body :  {"email":"admin@softjobs.com","password":"123456","rol":"admin","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:14.594Z ; Respuesta: {"id":1,"email":"admin@softjobs.com","password":"$2a$10$SvpTpTGPGkssXguOgbL3CuACcYD1Ki58D8gVRc6e8gVWbc0bCh4gK","rol":"admin","lenguage":"spanish"}
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:42.640Z ; Ruta sin credenciales
Ruta consultada: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:42.640Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdeg","rol":"manager","lenguage":"spanish"} 
Ruta: /api/usuarios ; Método: POST ; Fecha: 2024-12-24T01:06:42.896Z ; Respuesta: {"id":2,"email":"manager@softjobs.com","password":"$2a$10$SvpTpTGPGkssXguOgbL3CukPyBqxQMinEj0ikxmXLYvkSpCtyAXoy","rol":"manager","lenguage":"spanish"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T01:07:10.168Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T01:07:10.168Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdeg","rol":"manager","lenguage":"spanish"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T01:07:10.329Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T01:07:20.988Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T01:07:20.988Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdeg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T01:07:21.156Z ; Respuesta: {"error":"Credenciales incorrectas"}
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T01:09:35.746Z ; Ruta sin credenciales
Ruta consultada: /api/login ; Método: POST ; Fecha: 2024-12-24T01:09:35.748Z ; Parametros Body :  {"email":"manager@softjobs.com","password":"abcdeg"} 
Ruta: /api/login ; Método: POST ; Fecha: 2024-12-24T01:09:35.975Z ; Respuesta: {"token":"eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE","email":"manager@softjobs.com","rol":"manager","lenguage":"spanish"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:16:24.378Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:16:24.392Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:16:57.588Z ; Ruta con credenciales: eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:16:57.599Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:17:10.656Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:17:10.664Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:17:19.620Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:17:19.628Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:18:18.271Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:18:18.280Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:19:21.862Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:19:21.872Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:22:19.155Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:22:19.174Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
Ruta consultada: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:25:22.182Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzM4NCIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1hbmFnZXJAc29mdGpvYnMuY29tIiwiaWF0IjoxNzM1MDAyNTc1LCJleHAiOjE3MzUwODg5NzV9.WXZ-zvBVoEjtRZO2vY1TrKU2YI8V5Ruyy5UlJGKLWX3kDc2xKHp8nTyEX-xYENIE
Ruta: /api/usuarios ; Método: GET ; Fecha: 2024-12-24T01:25:22.208Z ; Respuesta: {"id":"errorDelServidor","message":"Error del servidor","description":"Ha ocurrido un error al intentar realizar la operación solicitada"}
